"var1","var2","cor","p_value","FDR"
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.857411133467471,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","FUCCAT.PWY..fucose.degradation",0.834037558685446,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","GLUCARDEG.PWY..D.glucarate.degradation.I",0.831469825990374,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.922458348759719,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.838238923855362,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.825161051462421,0,0
"PWY.5723..Rubisco.shunt","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.846486486486487,0,0
"PWY.5723..Rubisco.shunt","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I",0.817115516062884,0,0
"PWY.5723..Rubisco.shunt","METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis",0.785837320574163,0,0
"PWY.5723..Rubisco.shunt","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.783595352016405,0,0
"PWY.5723..Rubisco.shunt","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.819193438140807,0,0
"PWY.5723..Rubisco.shunt","PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.",0.81974025974026,0,0
"PWY.5845..superpathway.of.menaquinol.9.biosynthesis","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.803354540196645,0,0
"PWY.5845..superpathway.of.menaquinol.9.biosynthesis","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.888392603129445,0,0
"PWY.5850..superpathway.of.menaquinol.6.biosynthesis","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.788933143669986,0,0
"PWY.5850..superpathway.of.menaquinol.6.biosynthesis","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.888392603129445,0,0
"PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.","PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.",0.795448079658606,0,0
"PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.791920341394026,0,0
"PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",0.914793741109531,0,0
"PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I","PWY.5850..superpathway.of.menaquinol.6.biosynthesis",0.914793741109531,0,0
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.808092959671907,0,0
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.867477785372522,0,0
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",0.848250355618777,0,0
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5850..superpathway.of.menaquinol.6.biosynthesis",0.848250355618777,0,0
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.890583214793741,0,0
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.79835953520164,0,0
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",0.921262947578737,0,0
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","PWY.5850..superpathway.of.menaquinol.6.biosynthesis",0.914793741109531,0,0
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.890583214793741,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.788933143669986,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.888392603129445,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.914793741109531,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.848250355618777,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis",0.914793741109531,0,0
"PWY.6182..superpathway.of.salicylate.degradation","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.936734693877551,0,0
"PWY.6182..superpathway.of.salicylate.degradation","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.",0.932448979591837,0,0
