name,carac,coef,term_col,deg
PWY.5840..superpathway.of.menaquinol.7.biosynthesis,pathway,-0.0581942152998841,term,114
PWY.5845..superpathway.of.menaquinol.9.biosynthesis,pathway,0.330477956453134,preterm,119
PWY.5850..superpathway.of.menaquinol.6.biosynthesis,pathway,0.330477956453134,preterm,119
PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.,pathway,-1.67876263483068,term,67
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,pathway,0.366041329604772,preterm,123
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,pathway,-0.467891435083622,term,131
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,pathway,0.366041329604772,preterm,123
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,pathway,0.330477956453134,preterm,119
PWY.5897..superpathway.of.menaquinol.11.biosynthesis,pathway,-0.592297901017864,term,112
PWY.5898..superpathway.of.menaquinol.12.biosynthesis,pathway,-0.592297901017864,term,112
PWY.5899..superpathway.of.menaquinol.13.biosynthesis,pathway,-0.592297901017864,term,112
PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,pathway,-0.889643338803755,term,48
PWY.5913..partial.TCA.cycle..obligate.autotrophs.,pathway,-0.659155717683768,term,134
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate,pathway,-0.550405534055903,term,135
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine,pathway,2.46517374728988,preterm,50
PWY.5941..glycogen.degradation.II,pathway,-0.237998493168412,term,47
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.,pathway,-0.524771646079266,term,113
PWY.5972..stearate.biosynthesis.I..animals.,pathway,2.17465828581478,preterm,13
PWY.5973..cis.vaccenate.biosynthesis,pathway,-0.637520285887912,term,106
PWY.5981..CDP.diacylglycerol.biosynthesis.III,pathway,-0.721862813401949,term,44
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,pathway,-0.710895788270639,term,144
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,pathway,0.467587345491137,preterm,134
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,pathway,0.497250213307868,preterm,127
PWY.6123..inosine.5..phosphate.biosynthesis.I,pathway,0.219318418608585,preterm,117
PWY.6124..inosine.5..phosphate.biosynthesis.II,pathway,0.24438957386744,preterm,123
PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,pathway,-0.161747160742913,term,35
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II,pathway,-0.106002032569197,term,64
PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I,pathway,0.932207344378798,preterm,70
PWY.6151..S.adenosyl.L.methionine.salvage.I,pathway,0.24227103635316,preterm,157
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,pathway,0.0985496893081888,preterm,90
PWY.6168..flavin.biosynthesis.III..fungi.,pathway,1.12475771971331,preterm,33
PWY.6182..superpathway.of.salicylate.degradation,pathway,-2.84165636677884,term,86
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,pathway,-2.12819162111024,term,87
PWY.621..sucrose.degradation.III..sucrose.invertase.,pathway,-1.16374261027513,term,54
PWY.6210..2.aminophenol.degradation,pathway,-1.5879648881562,term,1
PWY.622..starch.biosynthesis,pathway,0.714452832741526,preterm,50
PWY.6270..isoprene.biosynthesis.I,pathway,-0.335427466242298,term,89
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,pathway,0.497250213307868,preterm,127
