feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Clostridium_perfringens.t__SGB6191	Staphylococcus_aureus.t__SGB7852	Haemophilus_parainfluenzae.t__SGB9663_group	Finegoldia_magna.t__SGB6686_group	Staphylococcus_lugdunensis.t__SGB7850	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Lactobacillus_acidophilus.t__SGB7044	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Klebsiella_pneumoniae.t__SGB10115	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Enterobacter_asburiae.t__SGB10141	Citrobacter_freundii.t__SGB10083	Clostridium_neonatale.t__SGB6169	Staphylococcus_haemolyticus.t__SGB7861	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Haemophilus_haemolyticus.t__SGB9649	Scardovia_wiggsiae.t__SGB15494
CB70	NA	-10.2719293823085	NA	-6.88696953624605	-0.641807215155792	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.3586789009036	NA	NA	NA	NA	-4.03181750837292	NA	-6.2048501523802	NA	NA	NA	NA	NA	NA	NA	NA	-12.7299347081545	NA	NA	NA	NA	NA	NA
CB72	NA	NA	NA	-9.96708329484119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.001442117144992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB80	NA	NA	NA	-9.4217932764582	NA	NA	-9.9875883664414	NA	-12.5452746456341	NA	NA	NA	NA	-12.6922084305077	-12.2152632409407	NA	NA	NA	-4.67513105585113	-4.01017360706655	NA	NA	NA	-14.5600094181732	NA	-0.480723323432574	NA	NA	NA	NA	NA	NA	NA	-14.0079436694168	NA	NA	NA
CB82	-16.729934563885	NA	-12.0568943934189	NA	NA	NA	-6.26092323959092	NA	NA	NA	NA	-6.15032142648306	NA	NA	-9.85622298843952	NA	NA	-18.0835715184997	-15.8272317652399	-0.841844340325157	NA	NA	-8.01983939830279	NA	NA	-12.0624373054104	NA	NA	-11.7961156408695	-2.60980676393868	-11.658239038493	NA	NA	NA	NA	NA	NA
CB86	NA	NA	NA	-16.0636721053315	NA	-2.69110236455512	-7.45760920362941	NA	NA	NA	NA	NA	NA	-12.2050097902192	-10.1921254715517	NA	NA	NA	-2.66123034959623	-4.43606951440267	-6.39819016391765	NA	-12.0446526734769	NA	NA	-12.6912542399905	NA	-1.28517264123077	-3.05290452652228	-6.35540312455286	NA	NA	NA	NA	NA	NA	NA
CB87	NA	NA	NA	-15.4919452874975	NA	-4.05032060440099	-12.2401738465166	NA	NA	NA	NA	NA	NA	NA	-9.30202965800923	NA	NA	NA	-1.37426216781931	-3.19617899761576	-10.377363319899	-13.9937532562512	NA	NA	NA	NA	NA	-2.69927304959017	-2.52063765719475	-8.33598457893035	NA	NA	NA	NA	NA	NA	NA
CB88	NA	NA	-7.08480496140771	-6.32788427663284	NA	-5.97863626140506	-9.48572601543483	NA	NA	NA	NA	-12.009132829091	-4.5777428828253	NA	-8.74762309756693	NA	NA	NA	-1.47745004165269	-5.55516503485009	-11.3462304156805	NA	-14.7616435678819	NA	NA	-8.13764018229646	NA	-1.71740267849411	-3.23884274490461	-10.020476237737	NA	NA	NA	NA	NA	NA	NA
CB89	NA	NA	NA	-5.15104446883132	NA	-3.21931324803862	-7.27901514151899	NA	NA	NA	NA	NA	-7.15564999023404	NA	NA	NA	NA	NA	-0.823380325797827	-5.29554473002779	-9.14008034126457	NA	-12.0477037033534	NA	NA	-2.42961974406694	NA	-11.2197298379041	-3.85896098976944	-9.23991256593825	NA	NA	-9.71931567817229	NA	NA	NA	NA
CB92	-2.14280563733154	NA	NA	-4.98116303678338	NA	NA	-13.355651208206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.34086457416197	NA	-10.952000469229	NA	NA	NA	-0.456082307487923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB93	NA	-10.7879302594021	NA	-10.5755568478214	NA	-0.068793659394399	NA	NA	NA	NA	NA	NA	NA	NA	-10.9955196056476	-9.00053562781785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.54461822301505	NA	NA	NA	NA	NA
CB95	-4.37137905630736	-1.97259452522491	-8.4046781438943	-5.06256761743609	-4.22716234574863	NA	-10.5381781118802	NA	NA	NA	NA	-9.16951879570988	NA	NA	NA	-9.98203363630716	NA	NA	NA	-3.80855863173844	NA	-6.18748107393806	NA	-7.93873642168651	NA	-1.50164699838549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB96	NA	-5.2727155602548	NA	-8.28397523380559	NA	NA	-9.01867923309421	NA	NA	NA	NA	NA	NA	-5.61381680380265	NA	NA	NA	NA	-7.59615029897462	-6.43946502684494	NA	NA	NA	-10.2051800900531	NA	-0.110755593548696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB98	-14.3198060092593	NA	NA	-6.38973385089353	NA	NA	-10.3490501997058	NA	NA	NA	NA	NA	NA	-8.31166958207151	-9.9802838543572	NA	NA	-16.7777632332451	-14.4986091620481	-2.84042454491405	NA	NA	-0.247713144887699	-10.9611750314095	NA	-13.158099641419	NA	-11.5230265270273	NA	NA	NA	NA	NA	NA	NA	NA	NA
